+base[   1] 27cb3 Forwarder RVA -- ntdll.A_SHAFinal
+base[   2] 27cc4 Forwarder RVA -- ntdll.A_SHAInit
+base[   3] 27cd4 Forwarder RVA -- ntdll.A_SHAUpdate
+base[ 157] 10c0 Export RVA
+base[ 158] 1a360 Export RVA
+base[ 159] 1a850 Export RVA
+base[ 160] 5944 Export RVA
+base[ 161] 1a570 Export RVA
+base[ 162] 11500 Export RVA
+base[ 163] 11540 Export RVA
+base[ 164] 5958 Export RVA
+base[ 165] 596c Export RVA
+base[ 166] 5980 Export RVA
+base[ 167] 27d22 Forwarder RVA -- ntdll.EtwEventActivityIdControl
+base[ 168] 27d42 Forwarder RVA -- ntdll.EtwEventEnabled
+base[ 169] 27d58 Forwarder RVA -- ntdll.EtwEventProviderEnabled
+base[ 170] 27d76 Forwarder RVA -- ntdll.EtwEventRegister
+base[ 171] 27d8d Forwarder RVA -- ntdll.EtwEventSetInformation
+base[ 172] 27daa Forwarder RVA -- ntdll.EtwEventUnregister
+base[ 173] 27dc3 Forwarder RVA -- ntdll.EtwEventWrite
+base[ 174] 27dd7 Forwarder RVA -- ntdll.EtwEventWriteEx
+base[ 175] 27ded Forwarder RVA -- ntdll.EtwEventWriteString
+base[ 176] 27e07 Forwarder RVA -- ntdll.EtwEventWriteTransfer
+base[ 177] 19b30 Export RVA
+base[ 178] 19ac0 Export RVA
+base[ 179] 5994 Export RVA
+base[ 180] 104c0 Export RVA
+base[ 181] 104f0 Export RVA
+base[ 182] 59a8 Export RVA
+base[ 183] 59bc Export RVA
+base[ 184] 59d0 Export RVA
+base[ 185] 18e90 Export RVA
+base[ 186] 18ef0 Export RVA
+base[ 187] 6540 Export RVA
+base[ 188] 6650 Export RVA
+base[ 189] 27e23 Forwarder RVA -- kernel32.GetDynamicTimeZoneInformationEffectiveYears
+base[ 190] 14dd0 Export RVA
+base[ 191] 14e30 Export RVA
+base[ 192] 10880 Export RVA
+base[ 193] 18c70 Export RVA
+base[ 194] 18cd0 Export RVA
+base[ 195] 16170 Export RVA
+base[ 196] 59e4 Export RVA
+base[ 197] 59f8 Export RVA
+base[ 198] 5a0c Export RVA
+base[ 199] 10e0 Export RVA
+base[ 200] 19410 Export RVA
+base[ 201] 198c0 Export RVA
+base[ 202] 19820 Export RVA
+base[ 203] 19500 Export RVA
+base[ 204] 10940 Export RVA
+base[ 205] 109b0 Export RVA
+base[ 206] 5a20 Export RVA
+base[ 207] 5a34 Export RVA
+base[ 208] 5a48 Export RVA
+base[ 209] 5a5c Export RVA
+base[ 210] 5a70 Export RVA
+base[ 211] 5a84 Export RVA
+base[ 212] 5a98 Export RVA
+base[ 213] 17680 Export RVA
+base[ 214] 179b0 Export RVA
+base[ 215] 179f0 Export RVA
+base[ 216] 1ae70 Export RVA
+base[ 217] 5aac Export RVA
+base[ 218] 1ac20 Export RVA
+base[ 219] 5ac0 Export RVA
+base[ 220] 5ad4 Export RVA
+base[ 221] 5ae8 Export RVA
+base[ 222] 5afc Export RVA
+base[ 223] 5b10 Export RVA
+base[ 224] 1100 Export RVA
+base[ 225] 7180 Export RVA
+base[ 226] 5b24 Export RVA
+base[ 227] 27e58 Forwarder RVA -- ntdll.EtwGetTraceEnableFlags
+base[ 228] 27e75 Forwarder RVA -- ntdll.EtwGetTraceEnableLevel
+base[ 229] 27e92 Forwarder RVA -- ntdll.EtwGetTraceLoggerHandle
+base[ 230] 17f90 Export RVA
+base[ 231] 17fe0 Export RVA
+base[ 232] 18030 Export RVA
+base[ 233] 18080 Export RVA
+base[ 234] 180d0 Export RVA
+base[ 235] 18120 Export RVA
+base[ 236] 64a0 Export RVA
+base[ 237] 64f0 Export RVA
+base[ 238] 5b38 Export RVA
+base[ 239] 1120 Export RVA
+base[ 240] 1140 Export RVA
+base[ 241] 5b4c Export RVA
+base[ 242] 5b60 Export RVA
+base[ 243] 5b74 Export RVA
+base[ 244] 5b88 Export RVA
+base[ 245] 5b9c Export RVA
+base[ 246] 5bb0 Export RVA
+base[ 247] 5bc4 Export RVA
+base[ 248] 6c80 Export RVA
+base[ 249] 6d00 Export RVA
+base[ 250] 6b80 Export RVA
+base[ 251] 6a80 Export RVA
+base[ 252] 6b00 Export RVA
+base[ 253] 6c00 Export RVA
+base[ 254] 1160 Export RVA
+base[ 255] 1180 Export RVA
+base[ 256] 6690 Export RVA
+base[ 257] 5bd8 Export RVA
+base[ 258] 5bec Export RVA
+base[ 259] 5c00 Export RVA
+base[ 260] 5c14 Export RVA
+base[ 261] 5c28 Export RVA
+base[ 262] 1a240 Export RVA
+base[ 263] 6d80 Export RVA
+base[ 264] 6fa0 Export RVA
+base[ 265] 16a80 Export RVA
+base[ 266] 16b30 Export RVA
+base[ 267] 161f0 Export RVA
+base[ 268] 16890 Export RVA
+base[ 269] 168d0 Export RVA
+base[ 270] 163c0 Export RVA
+base[ 271] 15ca0 Export RVA
+base[ 272] 15e90 Export RVA
+base[ 273] 15f00 Export RVA
+base[ 274] 16020 Export RVA
+base[ 275] 15c40 Export RVA
+base[ 276] 15900 Export RVA
+base[ 277] 1a140 Export RVA
+base[ 278] 1a1c0 Export RVA
+base[ 279] 118d0 Export RVA
+base[ 280] 11a0 Export RVA
+base[ 281] 119b0 Export RVA
+base[ 282] 11c0 Export RVA
+base[ 283] 11e0 Export RVA
+base[ 284] 1200 Export RVA
+base[ 285] 119f0 Export RVA
+base[ 286] 1220 Export RVA
+base[ 287] 11a50 Export RVA
+base[ 288] 11aa0 Export RVA
+base[ 289] 11b10 Export RVA
+base[ 290] 11b80 Export RVA
+base[ 291] 1240 Export RVA
+base[ 292] 1260 Export RVA
+base[ 293] 11be0 Export RVA
+base[ 294] 11c50 Export RVA
+base[ 295] 11cc0 Export RVA
+base[ 296] 1280 Export RVA
+base[ 297] 117a0 Export RVA
+base[ 298] 12a0 Export RVA
+base[ 299] 12c0 Export RVA
+base[ 300] 11d10 Export RVA
+base[ 301] 11d80 Export RVA
+base[ 302] 13440 Export RVA
+base[ 303] 13360 Export RVA
+base[ 304] 122c0 Export RVA
+base[ 305] 127d0 Export RVA
+base[ 306] 12e0 Export RVA
+base[ 307] 127f0 Export RVA
+base[ 308] 1300 Export RVA
+base[ 309] 1320 Export RVA
+base[ 310] 12960 Export RVA
+base[ 311] 1340 Export RVA
+base[ 312] 129c0 Export RVA
+base[ 313] 1360 Export RVA
+base[ 314] 12f40 Export RVA
+base[ 315] 12fa0 Export RVA
+base[ 316] 13000 Export RVA
+base[ 317] 13050 Export RVA
+base[ 318] 1380 Export RVA
+base[ 319] 130c0 Export RVA
+base[ 320] 13120 Export RVA
+base[ 321] 13a0 Export RVA
+base[ 322] 131a0 Export RVA
+base[ 323] 13c0 Export RVA
+base[ 324] 131f0 Export RVA
+base[ 325] 13250 Export RVA
+base[ 326] 132b0 Export RVA
+base[ 327] 13310 Export RVA
+base[ 328] 27eb0 Forwarder RVA -- ntdll.MD4Final
+base[ 329] 27ebf Forwarder RVA -- ntdll.MD4Init
+base[ 330] 27ecd Forwarder RVA -- ntdll.MD4Update
+base[ 331] 27edd Forwarder RVA -- ntdll.MD5Final
+base[ 332] 27eec Forwarder RVA -- ntdll.MD5Init
+base[ 333] 27efa Forwarder RVA -- ntdll.MD5Update
+base[ 334] 5c3c Export RVA
+base[ 335] 5c50 Export RVA
+base[ 336] 5c64 Export RVA
+base[ 337] 16a30 Export RVA
+base[ 338] 10a20 Export RVA
+base[ 339] 5c78 Export RVA
+base[ 340] 17460 Export RVA
+base[ 341] 5c8c Export RVA
+base[ 342] 5ca0 Export RVA
+base[ 343] 174c0 Export RVA
+base[ 344] 5cb4 Export RVA
+base[ 345] 17580 Export RVA
+base[ 346] 5cc8 Export RVA
+base[ 347] 10a60 Export RVA
+base[ 348] 10b30 Export RVA
+base[ 349] eb50 Export RVA
+base[ 350] ebb0 Export RVA
+base[ 351] 10c00 Export RVA
+base[ 352] 10cd0 Export RVA
+base[ 353] 5cdc Export RVA
+base[ 354] 5cf0 Export RVA
+base[ 355] 5d04 Export RVA
+base[ 356] 5d18 Export RVA
+base[ 357] 5d2c Export RVA
+base[ 358] 5d40 Export RVA
+base[ 359] 7120 Export RVA
+base[ 360] 114a0 Export RVA
+base[ 361] 5d54 Export RVA
+base[ 362] 72b0 Export RVA
+base[ 363] 7200 Export RVA
+base[ 364] 5d68 Export RVA
+base[ 365] 5d7c Export RVA
+base[ 366] 7240 Export RVA
+base[ 367] 7330 Export RVA
+base[ 368] 5d90 Export RVA
+base[ 369] 5da4 Export RVA
+base[ 370] 5db8 Export RVA
+base[ 371] 5dcc Export RVA
+base[ 372] 5de0 Export RVA
+base[ 373] 5df4 Export RVA
+base[ 374] 17600 Export RVA
+base[ 375] 5e08 Export RVA
+base[ 376] 5e1c Export RVA
+base[ 377] 5e30 Export RVA
+base[ 378] 5e44 Export RVA
+base[ 379] 5e58 Export RVA
+base[ 380] 5e6c Export RVA
+base[ 381] 5e80 Export RVA
+base[ 382] 5e94 Export RVA
+base[ 383] 1adb0 Export RVA
+base[ 384] 1ae10 Export RVA
+base[ 385] 5ea8 Export RVA
+base[ 386] 5ebc Export RVA
+base[ 387] 5ed0 Export RVA
+base[ 388] 113a0 Export RVA
+base[ 389] 11420 Export RVA
+base[ 390] 16980 Export RVA
+base[ 391] ec10 Export RVA
+base[ 392] 10d80 Export RVA
+base[ 393] 10de0 Export RVA
+base[ 394] 5ee4 Export RVA
+base[ 395] 147b0 Export RVA
+base[ 396] 14690 Export RVA
+base[ 397] 14820 Export RVA
+base[ 398] 5ef8 Export RVA
+base[ 399] 137b0 Export RVA
+base[ 400] 5f0c Export RVA
+base[ 401] 5f20 Export RVA
+base[ 402] 13af0 Export RVA
+base[ 403] 13810 Export RVA
+base[ 404] 13750 Export RVA
+base[ 405] 14100 Export RVA
+base[ 406] 5f34 Export RVA
+base[ 407] 5f48 Export RVA
+base[ 408] 5f5c Export RVA
+base[ 409] 5f70 Export RVA
+base[ 410] 140e0 Export RVA
+base[ 411] 5f84 Export RVA
+base[ 412] 5f98 Export RVA
+base[ 413] 5fac Export RVA
+base[ 414] 5fc0 Export RVA
+base[ 415] 14800 Export RVA
+base[ 416] 148d0 Export RVA
+base[ 417] 14880 Export RVA
+base[ 418] 13e00 Export RVA
+base[ 419] 5fd4 Export RVA
+base[ 420] 5fe8 Export RVA
+base[ 421] 13dc0 Export RVA
+base[ 422] 5ffc Export RVA
+base[ 423] 6010 Export RVA
+base[ 424] 6024 Export RVA
+base[ 425] 6038 Export RVA
+base[ 426] 604c Export RVA
+base[ 427] 6060 Export RVA
+base[ 428] 6074 Export RVA
+base[ 429] 6088 Export RVA
+base[ 430] 609c Export RVA
+base[ 431] 60b0 Export RVA
+base[ 432] 60c4 Export RVA
+base[ 433] 60d8 Export RVA
+base[ 434] 60ec Export RVA
+base[ 435] 6100 Export RVA
+base[ 436] 13d70 Export RVA
+base[ 437] 6114 Export RVA
+base[ 438] 6128 Export RVA
+base[ 439] 13d20 Export RVA
+base[ 440] 613c Export RVA
+base[ 441] 13730 Export RVA
+base[ 442] 6150 Export RVA
+base[ 443] 6164 Export RVA
+base[ 444] 13e40 Export RVA
+base[ 445] 13f60 Export RVA
+base[ 446] 14080 Export RVA
+base[ 447] 14360 Export RVA
+base[ 448] 6178 Export RVA
+base[ 449] 618c Export RVA
+base[ 450] 14280 Export RVA
+base[ 451] 13e0 Export RVA
+base[ 452] 14500 Export RVA
+base[ 453] 145d0 Export RVA
+base[ 454] 14480 Export RVA
+base[ 455] 61a0 Export RVA
+base[ 456] 61b4 Export RVA
+base[ 457] 14460 Export RVA
+base[ 458] 61c8 Export RVA
+base[ 459] 61dc Export RVA
+base[ 460] 14440 Export RVA
+base[ 461] 61f0 Export RVA
+base[ 462] 6204 Export RVA
+base[ 463] 6218 Export RVA
+base[ 464] 141d0 Export RVA
+base[ 465] 622c Export RVA
+base[ 466] 6240 Export RVA
+base[ 467] 14120 Export RVA
+base[ 468] 6254 Export RVA
+base[ 469] 6268 Export RVA
+base[ 470] 10e40 Export RVA
+base[ 471] 11090 Export RVA
+base[ 472] 627c Export RVA
+base[ 473] 6290 Export RVA
+base[ 474] 62a4 Export RVA
+base[ 475] 62b8 Export RVA
+base[ 476] 27f0a Forwarder RVA -- ntdll.EtwRegisterTraceGuidsA
+base[ 477] 27f27 Forwarder RVA -- ntdll.EtwRegisterTraceGuidsW
+base[ 478] 70d0 Export RVA
+base[ 479] 110f0 Export RVA
+base[ 480] 111e0 Export RVA
+base[ 481] 62cc Export RVA
+base[ 482] 19e70 Export RVA
+base[ 483] 19df0 Export RVA
+base[ 484] 19d80 Export RVA
+base[ 485] 1a000 Export RVA
+base[ 486] 1a070 Export RVA
+base[ 487] 1a0e0 Export RVA
+base[ 488] 62e0 Export RVA
+base[ 489] 18170 Export RVA
+base[ 490] 15420 Export RVA
+base[ 491] 16910 Export RVA
+base[ 492] 62f4 Export RVA
+base[ 493] 6308 Export RVA
+base[ 494] 184f0 Export RVA
+base[ 495] 185d0 Export RVA
+base[ 496] 631c Export RVA
+base[ 497] 6330 Export RVA
+base[ 498] 6344 Export RVA
+base[ 499] 6358 Export RVA
+base[ 500] 636c Export RVA
